Box Number,8,8,8,8,9,9,9,9,10,10,10,10,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,29,29,29,29,30,30,30,30
Columns,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total
2021/03/05 event_code: x071,57.0,482.0,198.0,737.0,128.0,468.0,26.0,622.0,204.0,722.0,150.0,1076.0,10.0,503.0,150.0,663.0,294.0,779.0,44.0,1117.0,121.0,480.0,25.0,626.0,290.0,816.0,22.0,1128.0,143.0,594.0,31.0,768.0,68.0,860.0,131.0,1059.0,232.0,512.0,55.0,799.0,176.0,1083.0,22.0,1281.0,157.0,637.0,63.0,857.0,41.0,1322.0,129.0,1492.0
2021/03/05 event_code: x520,0.0,193.0,0.0,193.0,0.0,125.0,0.0,125.0,0.0,176.0,0.0,176.0,0.0,110.0,0.0,110.0,0.0,257.0,0.0,257.0,0.0,107.0,0.0,107.0,0.0,146.0,0.0,146.0,0.0,103.0,0.0,103.0,0.0,163.0,0.0,163.0,0.0,187.0,0.0,187.0,0.0,316.0,0.0,316.0,0.0,143.0,0.0,143.0,0.0,100.0,0.0,100.0
2021/03/05 counter: xx529,19.0,0.0,2.0,21.0,5.0,0.0,7.0,12.0,16.0,0.0,47.0,63.0,1.0,0.0,5.0,6.0,2.0,0.0,8.0,10.0,5.0,0.0,4.0,9.0,152.0,0.0,10.0,162.0,3.0,0.0,5.0,8.0,1.0,0.0,7.0,8.0,14.0,0.0,13.0,27.0,19.0,0.0,5.0,24.0,12.0,0.0,17.0,29.0,9.0,0.0,1.0,10.0
2021/03/05 event_code: x2270,0.0,28.0,0.0,28.0,0.0,20.0,0.0,20.0,0.0,22.0,0.0,22.0,0.0,17.0,0.0,17.0,0.0,37.0,0.0,37.0,0.0,23.0,0.0,23.0,0.0,17.0,0.0,17.0,0.0,15.0,0.0,15.0,0.0,29.0,0.0,29.0,0.0,32.0,0.0,32.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,12.0,0.0,12.0
2021/03/05 event_code: x1270,0.0,478.0,0.0,478.0,0.0,310.0,0.0,310.0,0.0,366.0,0.0,366.0,0.0,289.0,0.0,289.0,0.0,675.0,0.0,675.0,0.0,257.0,0.0,257.0,0.0,348.0,0.0,348.0,0.0,268.0,0.0,268.0,0.0,340.0,0.0,340.0,0.0,445.0,0.0,445.0,0.0,328.0,0.0,328.0,0.0,367.0,0.0,367.0,0.0,247.0,0.0,247.0
2021/03/05 counter: x2589,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,9.0,0.0,10.0,0.0,6.0,0.0,6.0,0.0,3.0,3.0,6.0
2021/03/05 counter: x1589,0.0,48.0,0.0,48.0,0.0,13.0,0.0,13.0,0.0,59.0,0.0,59.0,0.0,46.0,0.0,46.0,0.0,33.0,0.0,33.0,0.0,9.0,0.0,9.0,0.0,71.0,0.0,71.0,0.0,10.0,0.0,10.0,0.0,23.0,0.0,23.0,0.0,36.0,0.0,36.0,0.0,179.0,0.0,179.0,0.0,17.0,0.0,17.0,0.0,54.0,0.0,54.0
2021/03/05 counter: x2519,7.0,3.0,1.0,11.0,0.0,1.0,4.0,5.0,3.0,15.0,2.0,20.0,0.0,37.0,12.0,49.0,1.0,6.0,4.0,11.0,1.0,4.0,0.0,5.0,0.0,22.0,1.0,23.0,0.0,16.0,2.0,18.0,1.0,12.0,1.0,14.0,3.0,8.0,1.0,12.0,3.0,47.0,1.0,51.0,1.0,38.0,3.0,42.0,5.0,82.0,7.0,94.0
2021/03/05 counter: x1519,11.0,10.0,17.0,38.0,4.0,15.0,7.0,26.0,47.0,214.0,72.0,333.0,3.0,102.0,18.0,123.0,29.0,43.0,20.0,92.0,4.0,30.0,4.0,38.0,2.0,313.0,5.0,320.0,19.0,48.0,16.0,83.0,3.0,155.0,9.0,167.0,28.0,71.0,19.0,118.0,30.0,323.0,4.0,357.0,9.0,166.0,40.0,215.0,15.0,513.0,10.0,538.0
2021/03/05 counter: x2559,0.0,9.0,1.0,10.0,0.0,14.0,0.0,14.0,0.0,13.0,0.0,13.0,0.0,6.0,1.0,7.0,1.0,18.0,0.0,19.0,2.0,18.0,0.0,20.0,0.0,6.0,0.0,6.0,1.0,15.0,0.0,16.0,0.0,25.0,2.0,27.0,0.0,11.0,0.0,11.0,0.0,7.0,0.0,7.0,0.0,12.0,0.0,12.0,0.0,15.0,1.0,16.0
2021/03/05 counter: x1559,0.0,191.0,13.0,204.0,11.0,266.0,0.0,277.0,15.0,189.0,0.0,204.0,0.0,166.0,13.0,179.0,27.0,384.0,0.0,411.0,20.0,227.0,0.0,247.0,16.0,220.0,0.0,236.0,28.0,299.0,0.0,327.0,1.0,374.0,11.0,386.0,33.0,162.0,1.0,196.0,16.0,131.0,0.0,147.0,6.0,225.0,0.0,231.0,0.0,261.0,21.0,282.0
2021/03/05 counter: x2549,2.0,8.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,7.0,0.0,8.0,2.0,10.0,0.0,12.0,2.0,14.0,0.0,2.0,1.0,3.0,0.0,5.0,0.0,5.0,1.0,12.0,0.0,13.0,0.0,6.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,8.0,0.0,27.0,0.0,27.0
2021/03/05 counter: x1549,1.0,17.0,1.0,19.0,0.0,28.0,1.0,29.0,2.0,53.0,4.0,59.0,0.0,28.0,0.0,28.0,0.0,21.0,0.0,21.0,0.0,73.0,2.0,75.0,0.0,32.0,0.0,32.0,0.0,95.0,1.0,96.0,3.0,95.0,0.0,98.0,0.0,28.0,0.0,28.0,0.0,69.0,3.0,72.0,1.0,22.0,0.0,23.0,5.0,267.0,2.0,274.0
2021/03/05 event_code: x2170,7.0,7.0,0.0,14.0,6.0,2.0,0.0,8.0,7.0,1.0,0.0,8.0,2.0,5.0,0.0,7.0,10.0,7.0,0.0,17.0,6.0,5.0,0.0,11.0,5.0,2.0,0.0,7.0,4.0,3.0,0.0,7.0,8.0,7.0,0.0,15.0,9.0,5.0,0.0,14.0,6.0,2.0,0.0,8.0,6.0,2.0,0.0,8.0,0.0,4.0,0.0,4.0
2021/03/05 event_code: x1170,10.0,0.0,156.0,166.0,102.0,0.0,4.0,106.0,114.0,0.0,24.0,138.0,1.0,0.0,96.0,97.0,224.0,0.0,3.0,227.0,83.0,0.0,8.0,91.0,115.0,0.0,3.0,118.0,88.0,0.0,4.0,92.0,49.0,0.0,97.0,146.0,145.0,0.0,10.0,155.0,107.0,0.0,7.0,114.0,122.0,0.0,1.0,123.0,7.0,0.0,80.0,87.0
2021/03/05 event_code: x2160,2.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,4.0,3.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,7.0,10.0,1.0,0.0,5.0,6.0,4.0,0.0,2.0,6.0
2021/03/05 event_code: x2540,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2021/03/05 event_code: x1540,0.0,8.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,21.0,0.0,21.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,170.0,0.0,170.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,2.0
